1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Faelle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,628,584;100;414,197;7.4;1,304,904;1,508,727;1,099,424;1,572,975;142,554;4,092;4,442;3,226,935;57.3;2,093,782;1,565,240;528,542;783,876;37.4
0;Straftaten gegen das Leben;3,077;0.1;1,770;57.5;887;974;566;635;15;8;133;2,732;88.8;3,539;2,950;589;1,270;35.9
10000;Mord § 211 StGB;662;0;451;68.1;205;160;122;166;9;3;59;604;91.2;763;654;109;293;38.4
10079;Sonstiger Mord;625;0;425;68;192;155;114;155;9;3;55;570;91.2;711;604;107;269;37.8
11000;Mord im Zusammenhang mit Raubdelikten;29;0;23;79.3;11;4;6;8;0;0;4;26;89.7;46;44;2;23;50
12000;Mord im Zusammenhang mit Sexualdelikten;8;0;3;37.5;2;1;2;3;0;0;0;8;100;8;8;0;2;25
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,574;0;1,272;80.8;439;518;275;340;2;5;73;1,494;94.9;1,948;1,728;220;823;42.2
20010;Totschlag § 212 StGB;1,549;0;1,267;81.8;431;510;271;336;1;5;69;1,469;94.8;1,926;1,712;214;818;42.5
20020;Minder schwerer Totschlag § 213 StGB;1;0;1;100;1;0;0;0;0;0;0;1;100;2;2;0;2;100
20030;Tötung auf Verlangen § 216 StGB;24;0;4;16.7;7;8;4;4;1;0;4;24;100;21;15;6;3;14.3
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;748;0;0;0;225;270;147;104;2;0;1;543;72.6;745;508;237;111;14.9
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;93;0;47;50.5;18;26;22;25;2;0;0;91;97.8;96;72;24;52;54.2
40010;Schwangerschaftsabbruch § 218 StGB;92;0;47;51.1;18;26;21;25;2;0;0;90;97.8;95;72;23;52;54.7
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;0;0;0;0;0;1;0;0;0;0;1;100;1;0;1;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;118,196;2.1;2,902;2.5;35,631;33,298;20,581;23,201;5,485;27;2;98,376;83.2;88,730;79,147;9,583;23,637;26.6
